PROVINCIA;FRENTE;NOMBRE;POSTURA;PREGUNTALE
San Luis;TODOS;CARLOS PONCE;No se expresó;"<a href=""https://twitter.com/intent/tweet?text=Hola%20%40carlosponce668!%20Si%20los%20resultados%20de%20las%20PASO%20se%20repiten%20en%20octubre,%20vas%20a%20ser%20diputado%20los%20próximos%204%20años.%20Por%20eso%20quería%20preguntarte%20%23CómoVasAVotar%20si%20se%20vuelve%20a%20tratar%20la%20legalización%20del%20aborto.%20https://comovasavotar.agustinprinetti.com/"" target=""_blank"">Preguntale</a>"
San Luis;JxC;ALEJANDRO CACACE;Probablemente a favor;"<a href=""https://twitter.com/intent/tweet?text=Hola%20%40alejandrocacace!%20Si%20los%20resultados%20de%20las%20PASO%20se%20repiten%20en%20octubre,%20vas%20a%20ser%20diputado%20los%20próximos%204%20años.%20Por%20eso%20quería%20preguntarte%20%23CómoVasAVotar%20si%20se%20vuelve%20a%20tratar%20la%20legalización%20del%20aborto.%20Es%20cierto%20que%20estás%20a%20favor?%20https://comovasavotar.agustinprinetti.com/"" target=""_blank"">Preguntale</a>"
Santa Cruz;TODOS;MARCELA PAOLA VESSVESSIAN;No se expresó;No disponible
Santa Fe;TODOS;ALEJANDRA DEL HUERTO OBEID;No se expresó;"<a href=""https://twitter.com/intent/tweet?text=Hola%20%40AlejandraObeid!%20Si%20los%20resultados%20de%20las%20PASO%20se%20repiten%20en%20octubre,%20vas%20a%20ser%20diputada%20los%20próximos%204%20años.%20Por%20eso%20quería%20preguntarte%20%23CómoVasAVotar%20si%20se%20vuelve%20a%20tratar%20la%20legalización%20del%20aborto.%20https://comovasavotar.agustinprinetti.com/"" target=""_blank"">Preguntale</a>"
Santa Fe;TODOS;JORGE ALBERTO HOFFMANN;No se expresó;"<a href=""https://twitter.com/intent/tweet?text=Hola%20%40jorge_hoffmann!%20Si%20los%20resultados%20de%20las%20PASO%20se%20repiten%20en%20octubre,%20vas%20a%20ser%20diputado%20los%20próximos%204%20años.%20Por%20eso%20quería%20preguntarte%20%23CómoVasAVotar%20si%20se%20vuelve%20a%20tratar%20la%20legalización%20del%20aborto.%20https://comovasavotar.agustinprinetti.com/"" target=""_blank"">Preguntale</a>"
Santa Fe;JxC;XIMENA GARCIA;No se expresó;"<a href=""https://twitter.com/intent/tweet?text=Hola%20%40XimenaGarciaBl!%20Si%20los%20resultados%20de%20las%20PASO%20se%20repiten%20en%20octubre,%20vas%20a%20ser%20diputada%20los%20próximos%204%20años.%20Por%20eso%20quería%20preguntarte%20%23CómoVasAVotar%20si%20se%20vuelve%20a%20tratar%20la%20legalización%20del%20aborto.%20https://comovasavotar.agustinprinetti.com/"" target=""_blank"">Preguntale</a>"
Santa Fe;JxC;LAURA CAROLINA CASTETS;No se expresó;No disponible
Santiago del Estero;LOCAL;DANIEL AGUSTIN BRUE;No se expresó;No disponible
Santiago del Estero;LOCAL;RICARDO DANIEL DAIVES;No se expresó;"<a href=""https://twitter.com/intent/tweet?text=Hola%20%40ricardodaives!%20Si%20los%20resultados%20de%20las%20PASO%20se%20repiten%20en%20octubre,%20vas%20a%20ser%20diputado%20los%20próximos%204%20años.%20Por%20eso%20quería%20preguntarte%20%23CómoVasAVotar%20si%20se%20vuelve%20a%20tratar%20la%20legalización%20del%20aborto.%20https://comovasavotar.agustinprinetti.com/"" target=""_blank"">Preguntale</a>"
Tierra del Fuego;JxC;FEDERICO FRIGERIO;No se expresó;"<a href=""https://twitter.com/intent/tweet?text=Hola%20%40fedefrigerio!%20Si%20los%20resultados%20de%20las%20PASO%20se%20repiten%20en%20octubre,%20vas%20a%20ser%20diputado%20los%20próximos%204%20años.%20Por%20eso%20quería%20preguntarte%20%23CómoVasAVotar%20si%20se%20vuelve%20a%20tratar%20la%20legalización%20del%20aborto.%20https://comovasavotar.agustinprinetti.com/"" target=""_blank"">Preguntale</a>"
Tucumán;TODOS;NILDA MABEL CARRIZO;Probablemente a favor;"<a href=""https://twitter.com/intent/tweet?text=Hola%20%40mabelcarrizotuc!%20Si%20los%20resultados%20de%20las%20PASO%20se%20repiten%20en%20octubre,%20vas%20a%20ser%20diputada%20los%20próximos%204%20años.%20Por%20eso%20quería%20preguntarte%20%23CómoVasAVotar%20si%20se%20vuelve%20a%20tratar%20la%20legalización%20del%20aborto.%20Es%20cierto%20que%20estás%20a%20favor?%20https://comovasavotar.agustinprinetti.com/"" target=""_blank"">Preguntale</a>"
Tucumán;TODOS;CARLOS ANIBAL CISNEROS;No se expresó;No disponible
Tucumán;TODOS;GRACIELA DEL VALLE GUTIERREZ;No se expresó;No disponible
Tucumán;JxC;DOMINGO AMAYA;No se expresó;"<a href=""https://twitter.com/intent/tweet?text=Hola%20%40domingoamayaok!%20Si%20los%20resultados%20de%20las%20PASO%20se%20repiten%20en%20octubre,%20vas%20a%20ser%20diputado%20los%20próximos%204%20años.%20Por%20eso%20quería%20preguntarte%20%23CómoVasAVotar%20si%20se%20vuelve%20a%20tratar%20la%20legalización%20del%20aborto.%20https://comovasavotar.agustinprinetti.com/"" target=""_blank"">Preguntale</a>"
